pitch,channel,on,off
64,1,0.0,0.24999999934895833
76,0,0.24999999934895833,0.3749999990234375
75,0,0.3749999990234375,0.49999999869791667
52,1,0.49999999869791667,0.749999998046875
76,0,0.49999999869791667,0.749999998046875
71,0,0.749999998046875,0.9999999973958333
68,0,0.9999999973958333,1.2499999967447917
71,0,1.2499999967447917,1.49999999609375
64,0,1.49999999609375,1.624999995768229
66,0,1.624999995768229,1.7499999954427083
52,1,1.7499999954427083,1.8749999951171876
64,0,1.7499999954427083,1.8749999951171876
51,1,1.8749999951171876,1.9999999947916667
63,0,1.8749999951171876,1.9999999947916667
52,1,1.9999999947916667,2.249999994140625
64,0,1.9999999947916667,2.249999994140625
47,1,2.249999994140625,2.4999999934895833
59,0,2.249999994140625,2.4999999934895833
44,1,2.4999999934895833,2.749999992838542
56,0,2.4999999934895833,2.749999992838542
47,1,2.749999992838542,2.9999999921875
59,0,2.749999992838542,2.9999999921875
40,1,2.9999999921875,3.249999991536458
52,0,2.9999999921875,3.124999991861979
59,0,3.124999991861979,3.249999991536458
54,0,3.249999991536458,3.3749999912109376
59,0,3.3749999912109376,3.4999999908854167
56,0,3.4999999908854167,3.6249999905598957
59,0,3.6249999905598957,3.7499999902343752
57,0,3.7499999902343752,3.8749999899088543
59,0,3.8749999899088543,3.9999999895833334
56,0,3.9999999895833334,4.124999989257812
59,0,4.124999989257812,4.2499999889322915
54,0,4.2499999889322915,4.3749999886067705
59,0,4.3749999886067705,4.49999998828125
52,0,4.49999998828125,4.999999986979167
64,0,4.6249999879557295,4.749999987630209
63,0,4.749999987630209,4.874999987304688
61,0,4.874999987304688,4.999999986979167
59,0,4.999999986979167,5.124999986653646
64,1,5.124999986653646,5.249999986328125
64,0,5.124999986653646,5.249999986328125
63,1,5.249999986328125,5.374999986002604
63,0,5.249999986328125,5.374999986002604
61,1,5.374999986002604,5.499999985677084
61,0,5.374999986002604,5.499999985677084
59,1,5.499999985677084,5.624999985351563
59,0,5.499999985677084,5.624999985351563
57,1,5.624999985351563,5.749999985026042
57,0,5.624999985351563,5.749999985026042
56,1,5.749999985026042,5.874999984700521
56,0,5.749999985026042,5.874999984700521
54,1,5.874999984700521,5.999999984375
54,0,5.874999984700521,5.999999984375
52,1,5.999999984375,6.249999983723958
52,0,5.999999984375,6.124999984049479
59,0,6.124999984049479,6.249999983723958
54,0,6.249999983723958,6.374999983398437
59,0,6.374999983398437,6.499999983072916
56,0,6.499999983072916,6.624999982747396
59,0,6.624999982747396,6.749999982421875
57,0,6.749999982421875,6.874999982096354
59,0,6.874999982096354,6.999999981770833
56,0,6.999999981770833,7.124999981445312
59,0,7.124999981445312,7.2499999811197915
54,0,7.2499999811197915,7.3749999807942705
59,0,7.3749999807942705,7.4999999804687505
52,0,7.4999999804687505,7.999999979166667
64,0,7.6249999801432295,7.749999979817709
63,0,7.749999979817709,7.874999979492188
61,0,7.874999979492188,7.999999979166667
59,0,7.999999979166667,8.124999978841146
52,1,8.124999978841146,8.249999978515625
64,0,8.124999978841146,8.249999978515625
51,1,8.249999978515625,8.374999978190104
63,0,8.249999978515625,8.374999978190104
49,1,8.374999978190104,8.499999977864583
61,0,8.374999978190104,8.499999977864583
47,1,8.499999977864583,8.624999977539062
59,0,8.499999977864583,8.624999977539062
45,1,8.624999977539062,8.749999977213541
57,0,8.624999977539062,8.749999977213541
44,1,8.749999977213541,8.87499997688802
56,0,8.749999977213541,8.87499997688802
42,1,8.87499997688802,8.9999999765625
54,0,8.87499997688802,8.9999999765625
40,1,8.9999999765625,9.249999975911459
52,0,8.9999999765625,9.12499997623698
54,0,9.12499997623698,9.249999975911459
56,0,9.249999975911459,9.374999975585938
57,0,9.374999975585938,9.499999975260417
59,0,9.499999975260417,9.624999974934896
61,0,9.624999974934896,9.749999974609375
63,0,9.749999974609375,9.874999974283854
64,0,9.874999974283854,9.999999973958333
66,0,9.999999973958333,10.124999973632812
68,0,10.124999973632812,10.249999973307292
69,0,10.249999973307292,10.37499997298177
66,0,10.37499997298177,10.49999997265625
40,1,10.49999997265625,10.749999972005208
68,0,10.49999997265625,10.624999972330729
71,0,10.624999972330729,10.749999972005208
64,0,10.749999972005208,10.874999971679687
66,0,10.874999971679687,10.999999971354168
68,0,10.999999971354168,11.124999971028647
69,0,11.124999971028647,11.249999970703126
71,0,11.249999970703126,11.374999970377605
73,0,11.374999970377605,11.499999970052084
75,0,11.499999970052084,11.624999969726563
76,0,11.624999969726563,11.749999969401042
73,0,11.749999969401042,11.874999969075521
75,0,11.874999969075521,11.99999996875
40,1,11.99999996875,12.249999968098958
76,0,11.99999996875,12.249999968098958
59,0,12.12499996842448,12.374999967773437
69,0,12.249999968098958,12.499999967447916
59,0,12.374999967773437,12.624999967122395
68,0,12.499999967447916,12.749999966796874
59,0,12.624999967122395,12.874999966471353
69,0,12.749999966796874,12.999999966145833
59,0,12.874999966471353,13.124999965820313
68,0,12.999999966145833,13.249999965494792
59,0,13.124999965820313,13.374999965169271
66,0,13.249999965494792,13.49999996484375
59,0,13.374999965169271,13.49999996484375
64,0,13.49999996484375,13.999999963541667
76,0,13.62499996451823,13.749999964192709
52,1,13.749999964192709,13.874999963867188
75,0,13.749999964192709,13.874999963867188
54,1,13.874999963867188,13.999999963541667
73,0,13.874999963867188,13.999999963541667
56,1,13.999999963541667,14.249999962890625
71,0,13.999999963541667,14.249999962890625
64,0,14.124999963216146,14.374999962565104
57,1,14.249999962890625,14.499999962239583
73,0,14.249999962890625,14.499999962239583
64,0,14.374999962565104,14.624999961914062
56,1,14.499999962239583,14.749999961588541
71,0,14.499999962239583,14.749999961588541
64,0,14.624999961914062,14.87499996126302
54,1,14.749999961588541,14.999999960937501
69,0,14.749999961588541,14.999999960937501
64,0,14.87499996126302,14.999999960937501
52,1,14.999999960937501,15.249999960286459
68,0,14.999999960937501,15.249999960286459
59,0,15.12499996061198,15.374999959960938
66,0,15.249999960286459,15.499999959635417
59,0,15.374999959960938,15.624999959309896
68,0,15.499999959635417,15.749999958984375
59,0,15.624999959309896,15.874999958658854
69,0,15.749999958984375,15.999999958333333
59,0,15.874999958658854,16.124999958007812
68,0,15.999999958333333,16.24999995768229
59,0,16.124999958007812,16.37499995735677
66,0,16.24999995768229,16.49999995703125
59,0,16.37499995735677,16.49999995703125
64,0,16.49999995703125,16.999999955729166
76,0,16.62499995670573,16.749999956380208
40,1,16.749999956380208,16.874999956054687
75,0,16.749999956380208,16.874999956054687
42,1,16.874999956054687,16.999999955729166
73,0,16.874999956054687,16.999999955729166
44,1,16.999999955729166,17.249999955078124
71,0,16.999999955729166,17.249999955078124
64,0,17.124999955403645,17.374999954752603
45,1,17.249999955078124,17.499999954427082
73,0,17.249999955078124,17.499999954427082
64,0,17.374999954752603,17.62499995410156
44,1,17.499999954427082,17.74999995377604
71,0,17.499999954427082,17.74999995377604
64,0,17.62499995410156,17.87499995345052
42,1,17.74999995377604,17.999999953125
69,0,17.74999995377604,17.999999953125
64,0,17.87499995345052,17.999999953125
40,1,17.999999953125,18.24999995247396
68,0,17.999999953125,18.24999995247396
64,0,18.12499995279948,18.24999995247396
64,0,18.24999995247396,18.37499995214844
64,0,18.37499995214844,18.624999951497397
63,0,18.499999951822918,18.749999951171876
64,0,18.624999951497397,18.749999951171876
64,0,18.749999951171876,18.874999950846355
64,0,18.874999950846355,19.124999950195313
66,0,18.999999950520834,19.249999949869792
64,0,19.124999950195313,19.37499994954427
63,0,19.249999949869792,19.49999994921875
64,0,19.37499994954427,19.49999994921875
64,0,19.49999994921875,19.62499994889323
64,0,19.62499994889323,19.874999948242188
68,0,19.74999994856771,19.999999947916667
64,0,19.874999948242188,20.124999947591146
66,0,19.999999947916667,20.249999947265625
64,0,20.124999947591146,20.374999946940104
68,0,20.249999947265625,20.499999946614583
64,0,20.374999946940104,20.624999946289062
69,0,20.499999946614583,20.74999994596354
64,0,20.624999946289062,20.87499994563802
66,0,20.74999994596354,20.9999999453125
64,0,20.87499994563802,20.9999999453125
40,1,20.9999999453125,21.249999944661457
68,0,20.9999999453125,21.249999944661457
64,0,21.12499994498698,21.249999944661457
64,0,21.249999944661457,21.374999944335936
64,0,21.374999944335936,21.624999943684895
63,0,21.499999944010415,21.749999943359374
64,0,21.624999943684895,21.749999943359374
64,0,21.749999943359374,21.874999943033853
64,0,21.874999943033853,22.124999942382814
66,0,21.999999942708335,22.249999942057293
64,0,22.124999942382814,22.374999941731772
63,0,22.249999942057293,22.49999994140625
64,0,22.374999941731772,22.49999994140625
64,0,22.49999994140625,22.62499994108073
64,0,22.62499994108073,22.87499994042969
68,0,22.74999994075521,22.999999940104168
64,0,22.87499994042969,23.124999939778647
66,0,22.999999940104168,23.249999939453126
64,0,23.124999939778647,23.374999939127605
68,0,23.249999939453126,23.499999938802084
64,0,23.374999939127605,23.624999938476563
69,0,23.499999938802084,23.749999938151042
64,0,23.624999938476563,23.87499993782552
66,0,23.749999938151042,23.9999999375
64,0,23.87499993782552,23.9999999375
68,0,23.9999999375,24.12499993717448
64,0,24.12499993717448,24.24999993684896
52,1,24.24999993684896,24.499999936197916
68,0,24.24999993684896,24.374999936523437
64,0,24.374999936523437,24.499999936197916
52,1,24.499999936197916,24.749999935546874
68,0,24.499999936197916,24.624999935872395
64,0,24.624999935872395,24.749999935546874
52,1,24.749999935546874,24.999999934895833
68,0,24.749999935546874,24.874999935221354
64,0,24.874999935221354,24.999999934895833
52,1,24.999999934895833,25.24999993424479
68,0,24.999999934895833,25.12499993457031
64,0,25.12499993457031,25.24999993424479
52,1,25.24999993424479,25.49999993359375
68,0,25.24999993424479,25.37499993391927
64,0,25.37499993391927,25.49999993359375
68,0,25.49999993359375,25.624999933268228
64,0,25.624999933268228,25.749999932942707
52,1,25.749999932942707,25.999999932291665
68,0,25.749999932942707,25.874999932617186
63,0,25.874999932617186,25.999999932291665
52,1,25.999999932291665,26.249999931640627
68,0,25.999999932291665,26.124999931966148
64,0,26.124999931966148,26.249999931640627
52,1,26.249999931640627,26.499999930989585
68,0,26.249999931640627,26.374999931315106
63,0,26.374999931315106,26.499999930989585
52,1,26.499999930989585,26.749999930338543
68,0,26.499999930989585,26.624999930664064
64,0,26.624999930664064,26.749999930338543
52,1,26.749999930338543,26.9999999296875
68,0,26.749999930338543,26.874999930013022
63,0,26.874999930013022,26.9999999296875
68,0,26.9999999296875,27.12499992936198
64,0,27.12499992936198,27.24999992903646
52,1,27.24999992903646,27.499999928385417
68,0,27.24999992903646,27.37499992871094
62,0,27.37499992871094,27.499999928385417
52,1,27.499999928385417,27.749999927734375
68,0,27.499999928385417,27.624999928059896
64,0,27.624999928059896,27.749999927734375
52,1,27.749999927734375,27.999999927083334
68,0,27.749999927734375,27.874999927408854
62,0,27.874999927408854,27.999999927083334
52,1,27.999999927083334,28.24999992643229
68,0,27.999999927083334,28.124999926757813
64,0,28.124999926757813,28.24999992643229
52,1,28.24999992643229,28.49999992578125
68,0,28.24999992643229,28.37499992610677
62,0,28.37499992610677,28.49999992578125
69,0,28.49999992578125,28.62499992545573
64,0,28.62499992545573,28.749999925130208
52,1,28.749999925130208,28.999999924479166
69,0,28.749999925130208,28.874999924804687
61,0,28.874999924804687,28.999999924479166
52,1,28.999999924479166,29.249999923828124
69,0,28.999999924479166,29.124999924153645
64,0,29.124999924153645,29.249999923828124
52,1,29.249999923828124,29.499999923177082
69,0,29.249999923828124,29.374999923502603
61,0,29.374999923502603,29.499999923177082
52,1,29.499999923177082,29.74999992252604
69,0,29.499999923177082,29.62499992285156
64,0,29.62499992285156,29.74999992252604
52,1,29.74999992252604,29.999999921875002
69,0,29.74999992252604,29.87499992220052
61,0,29.87499992220052,29.999999921875002
69,0,29.999999921875002,30.12499992154948
64,0,30.12499992154948,30.24999992122396
52,1,30.24999992122396,30.499999920572918
69,0,30.24999992122396,30.37499992089844
59,0,30.37499992089844,30.499999920572918
52,1,30.499999920572918,30.749999919921876
69,0,30.499999920572918,30.624999920247397
64,0,30.624999920247397,30.749999919921876
52,1,30.749999919921876,30.999999919270834
69,0,30.749999919921876,30.874999919596355
59,0,30.874999919596355,30.999999919270834
52,1,30.999999919270834,31.249999918619793
69,0,30.999999919270834,31.124999918945313
64,0,31.124999918945313,31.249999918619793
52,1,31.249999918619793,31.49999991796875
69,0,31.249999918619793,31.37499991829427
59,0,31.37499991829427,31.49999991796875
68,0,31.49999991796875,31.62499991764323
64,0,31.62499991764323,31.74999991731771
52,1,31.74999991731771,31.999999916666667
68,0,31.74999991731771,31.874999916992188
59,0,31.874999916992188,31.999999916666667
52,1,31.999999916666667,32.249999916015625
68,0,31.999999916666667,32.124999916341146
64,0,32.124999916341146,32.249999916015625
52,1,32.249999916015625,32.49999991536458
68,0,32.249999916015625,32.374999915690104
59,0,32.374999915690104,32.49999991536458
52,1,32.49999991536458,32.74999991471354
68,0,32.49999991536458,32.62499991503906
64,0,32.62499991503906,32.74999991471354
52,1,32.74999991471354,32.9999999140625
68,0,32.74999991471354,32.87499991438802
59,0,32.87499991438802,32.9999999140625
68,0,32.9999999140625,33.12499991373698
64,0,33.12499991373698,33.24999991341146
52,1,33.24999991341146,33.499999912760416
68,0,33.24999991341146,33.37499991308594
57,0,33.37499991308594,33.499999912760416
52,1,33.499999912760416,33.749999912109374
68,0,33.499999912760416,33.624999912434895
64,0,33.624999912434895,33.749999912109374
52,1,33.749999912109374,33.99999991145833
68,0,33.749999912109374,33.87499991178385
57,0,33.87499991178385,33.99999991145833
52,1,33.99999991145833,34.24999991080729
68,0,33.99999991145833,34.12499991113281
64,0,34.12499991113281,34.24999991080729
52,1,34.24999991080729,34.49999991015625
68,0,34.24999991080729,34.37499991048177
57,0,34.37499991048177,34.49999991015625
66,0,34.49999991015625,34.62499990983073
63,0,34.62499990983073,34.749999909505206
52,1,34.749999909505206,34.999999908854164
66,0,34.749999909505206,34.874999909179685
57,0,34.874999909179685,34.999999908854164
52,1,34.999999908854164,35.24999990820312
66,0,34.999999908854164,35.12499990852864
63,0,35.12499990852864,35.24999990820312
52,1,35.24999990820312,35.49999990755208
66,0,35.24999990820312,35.3749999078776
57,0,35.3749999078776,35.49999990755208
52,1,35.49999990755208,35.74999990690104
66,0,35.49999990755208,35.62499990722656
63,0,35.62499990722656,35.74999990690104
52,1,35.74999990690104,35.99999990625
66,0,35.74999990690104,35.87499990657552
57,0,35.87499990657552,35.99999990625
66,0,35.99999990625,36.12499990592448
59,0,36.12499990592448,36.24999990559896
52,1,36.24999990559896,36.49999990494792
66,0,36.24999990559896,36.37499990527344
56,0,36.37499990527344,36.49999990494792
52,1,36.49999990494792,36.74999990429688
66,0,36.49999990494792,36.6249999046224
59,0,36.6249999046224,36.74999990429688
52,1,36.74999990429688,36.999999903645836
66,0,36.74999990429688,36.87499990397136
56,0,36.87499990397136,36.999999903645836
52,1,36.999999903645836,37.249999902994794
66,0,36.999999903645836,37.124999903320315
59,0,37.124999903320315,37.249999902994794
52,1,37.249999902994794,37.49999990234375
66,0,37.249999902994794,37.37499990266927
56,0,37.37499990266927,37.49999990234375
64,0,37.49999990234375,37.62499990201823
59,0,37.62499990201823,37.74999990169271
52,1,37.74999990169271,37.99999990104167
64,0,37.74999990169271,37.87499990136719
56,0,37.87499990136719,37.99999990104167
52,1,37.99999990104167,38.24999990039063
64,0,37.99999990104167,38.12499990071615
59,0,38.12499990071615,38.24999990039063
52,1,38.24999990039063,38.499999899739585
64,0,38.24999990039063,38.374999900065106
56,0,38.374999900065106,38.499999899739585
52,1,38.499999899739585,38.74999989908854
64,0,38.499999899739585,38.624999899414064
59,0,38.624999899414064,38.74999989908854
52,1,38.74999989908854,38.9999998984375
64,0,38.74999989908854,38.87499989876302
56,0,38.87499989876302,38.9999998984375
64,0,38.9999998984375,39.12499989811198
57,0,39.12499989811198,39.24999989778646
52,1,39.24999989778646,39.49999989713542
64,0,39.24999989778646,39.37499989746094
54,0,39.37499989746094,39.49999989713542
52,1,39.49999989713542,39.749999896484375
64,0,39.49999989713542,39.624999896809896
57,0,39.624999896809896,39.749999896484375
52,1,39.749999896484375,39.999999895833334
64,0,39.749999896484375,39.874999896158855
54,0,39.874999896158855,39.999999895833334
52,1,39.999999895833334,40.24999989518229
64,0,39.999999895833334,40.12499989550781
57,0,40.12499989550781,40.24999989518229
52,1,40.24999989518229,40.49999989453125
64,0,40.24999989518229,40.37499989485677
54,0,40.37499989485677,40.49999989453125
63,0,40.49999989453125,40.62499989420573
57,0,40.62499989420573,40.74999989388021
52,1,40.74999989388021,40.999999893229166
63,0,40.74999989388021,40.87499989355469
54,0,40.87499989355469,40.999999893229166
52,1,40.999999893229166,41.249999892578124
63,0,40.999999893229166,41.124999892903645
57,0,41.124999892903645,41.249999892578124
52,1,41.249999892578124,41.49999989192708
63,0,41.249999892578124,41.3749998922526
54,0,41.3749998922526,41.49999989192708
52,1,41.49999989192708,41.74999989127604
63,0,41.49999989192708,41.62499989160156
57,0,41.62499989160156,41.74999989127604
52,1,41.74999989127604,41.999999890625
63,0,41.74999989127604,41.87499989095052
54,0,41.87499989095052,41.999999890625
40,1,41.999999890625,42.499999889322915
40,0,41.999999890625,42.12499989029948
54,0,42.12499989029948,42.24999988997396
52,0,42.24999988997396,42.374999889648436
54,0,42.374999889648436,42.499999889322915
56,0,42.499999889322915,42.624999888997394
59,0,42.624999888997394,42.74999988867187
52,0,42.74999988867187,42.87499988834635
54,0,42.87499988834635,42.99999988802083
56,0,42.99999988802083,43.12499988769531
59,0,43.12499988769531,43.24999988736979
52,0,43.24999988736979,43.37499988704427
54,0,43.37499988704427,43.49999988671875
52,1,43.49999988671875,43.99999988541667
56,0,43.49999988671875,43.624999886393226
57,0,43.624999886393226,43.749999886067705
56,0,43.749999886067705,43.874999885742184
57,0,43.874999885742184,43.99999988541667
59,0,43.99999988541667,44.12499988509115
64,0,44.12499988509115,44.24999988476563
56,0,44.24999988476563,44.37499988444011
57,0,44.37499988444011,44.49999988411459
59,0,44.49999988411459,44.624999883789066
64,0,44.624999883789066,44.749999883463545
56,0,44.749999883463545,44.874999883138024
57,0,44.874999883138024,44.9999998828125
40,1,44.9999998828125,45.49999988151042
59,0,44.9999998828125,45.12499988248698
61,0,45.12499988248698,45.24999988216146
59,0,45.24999988216146,45.37499988183594
61,0,45.37499988183594,45.49999988151042
62,0,45.49999988151042,45.6249998811849
68,0,45.6249998811849,45.74999988085938
59,0,45.74999988085938,45.874999880533856
61,0,45.874999880533856,45.999999880208335
62,0,45.999999880208335,46.124999879882814
68,0,46.124999879882814,46.24999987955729
59,0,46.24999987955729,46.37499987923177
61,0,46.37499987923177,46.49999987890625
52,1,46.49999987890625,46.99999987760417
62,0,46.49999987890625,46.62499987858073
71,0,46.62499987858073,46.74999987825521
68,0,46.74999987825521,46.87499987792969
64,0,46.87499987792969,46.99999987760417
62,0,46.99999987760417,47.12499987727865
59,0,47.12499987727865,47.249999876953126
56,0,47.249999876953126,47.374999876627605
52,0,47.374999876627605,47.499999876302084
50,0,47.499999876302084,47.62499987597656
49,0,47.62499987597656,47.74999987565104
50,0,47.74999987565104,47.87499987532552
47,0,47.87499987532552,47.999999875
53,1,47.999999875,48.24999987434896
49,0,47.999999875,48.12499987467448
51,0,48.12499987467448,48.24999987434896
61,1,48.24999987434896,48.49999987369792
49,0,48.24999987434896,48.37499987402344
51,0,48.37499987402344,48.49999987369792
61,1,48.49999987369792,48.749999873046875
53,0,48.49999987369792,48.624999873372396
56,0,48.624999873372396,48.749999873046875
61,1,48.749999873046875,48.99999987239583
49,0,48.749999873046875,48.874999872721354
51,0,48.874999872721354,48.99999987239583
61,1,48.99999987239583,49.24999987174479
53,0,48.99999987239583,49.12499987207031
56,0,49.12499987207031,49.24999987174479
61,1,49.24999987174479,49.49999987109375
49,0,49.24999987174479,49.37499987141927
51,0,49.37499987141927,49.49999987109375
53,0,49.49999987109375,49.62499987076823
54,0,49.62499987076823,49.74999987044271
56,1,49.74999987044271,49.999999869791665
53,0,49.74999987044271,49.874999870117186
54,0,49.874999870117186,49.999999869791665
56,1,49.999999869791665,50.24999986914062
56,0,49.999999869791665,50.124999869466144
61,0,50.124999869466144,50.24999986914062
56,1,50.24999986914062,50.49999986848958
53,0,50.24999986914062,50.3749998688151
54,0,50.3749998688151,50.49999986848958
56,1,50.49999986848958,50.74999986783854
56,0,50.49999986848958,50.62499986816406
61,0,50.62499986816406,50.74999986783854
56,1,50.74999986783854,50.9999998671875
