index,x,y,snippet,href
1865,4029.093,15.65,gis',textedit:///work/_3/m123_129.ly:7:43:44
1866,4031.493,16.15,fis',textedit:///work/_3/m123_129.ly:15:62:63
1867,4034.246,14.65,b',textedit:///work/_3/m123_129.ly:15:78:79
1868,4036.498,16.15,fis',textedit:///work/_3/m123_129.ly:15:90:91
1869,4039.001,16.65,e',textedit:///work/_3/m123_129.ly:15:102:103
1870,4041.504,17.15,dis',textedit:///work/_3/m123_129.ly:15:116:117
1871,4044.257,16.15,fis',textedit:///work/_3/m123_129.ly:15:130:131
1872,4046.51,17.15,dis',textedit:///work/_3/m123_129.ly:15:142:143
1873,4049.012,17.65,cis',textedit:///work/_3/m123_129.ly:15:154:155
1874,4052.557,32.294,"b,",textedit:///work/_3/m123_129.ly:26:2:3
1875,4052.557,18.15,b,textedit:///work/_3/m123_129.ly:16:2:3
1876,4055.31,14.65,b',textedit:///work/_3/m123_129.ly:16:24:25
1877,4057.813,15.15,a',textedit:///work/_3/m123_129.ly:16:36:37
1878,4060.316,15.65,gis',textedit:///work/_3/m123_129.ly:16:48:49
1879,4062.819,16.15,fis',textedit:///work/_3/m123_129.ly:16:62:63
1880,4065.572,15.15,a',textedit:///work/_3/m123_129.ly:16:78:79
1881,4067.824,16.15,fis',textedit:///work/_3/m123_129.ly:16:90:91
1882,4070.327,16.65,e',textedit:///work/_3/m123_129.ly:16:102:103
1883,4072.83,17.15,dis',textedit:///work/_3/m123_129.ly:16:116:117
1884,4075.583,16.15,fis',textedit:///work/_3/m123_129.ly:16:130:131
1885,4077.836,17.15,dis',textedit:///work/_3/m123_129.ly:16:142:143
1886,4080.338,17.65,cis',textedit:///work/_3/m123_129.ly:16:154:155
1887,4083.883,32.294,"b,",textedit:///work/_3/m123_129.ly:27:2:3
1888,4083.883,18.15,b,textedit:///work/_3/m123_129.ly:17:2:3
1889,4086.636,15.15,a',textedit:///work/_3/m123_129.ly:17:24:25
1890,4089.139,15.65,gis',textedit:///work/_3/m123_129.ly:17:36:37
1891,4091.642,16.15,fis',textedit:///work/_3/m123_129.ly:17:48:49
1892,4094.144,16.65,e',textedit:///work/_3/m123_129.ly:17:62:63
1893,4096.897,15.65,gis',textedit:///work/_3/m123_129.ly:17:78:79
1894,4099.15,16.65,e',textedit:///work/_3/m123_129.ly:17:90:91
1895,4101.653,17.15,dis',textedit:///work/_3/m123_129.ly:17:102:103
1896,4104.156,17.65,cis',textedit:///work/_3/m123_129.ly:17:116:117
1897,4106.908,16.65,e',textedit:///work/_3/m123_129.ly:17:130:131
1898,4109.161,17.65,cis',textedit:///work/_3/m123_129.ly:17:142:143
1899,4111.664,18.15,b,textedit:///work/_3/m123_129.ly:17:154:155
1900,4115.216,32.294,"b,",textedit:///work/_3/m123_129.ly:28:2:3
1901,4115.216,18.65,a,textedit:///work/_3/m123_129.ly:18:2:3
1902,4117.969,15.65,gis',textedit:///work/_3/m123_129.ly:18:24:25
1903,4120.472,16.15,fis',textedit:///work/_3/m123_129.ly:18:36:37
1904,4122.975,16.65,e',textedit:///work/_3/m123_129.ly:18:48:49
1905,4125.477,17.15,dis',textedit:///work/_3/m123_129.ly:18:62:63
1906,4128.23,16.15,fis',textedit:///work/_3/m123_129.ly:18:78:79
1907,4130.483,17.15,dis',textedit:///work/_3/m123_129.ly:18:90:91
1908,4132.986,17.65,cis',textedit:///work/_3/m123_129.ly:18:102:103
1909,4135.489,18.15,b,textedit:///work/_3/m123_129.ly:18:116:117
1910,4138.242,17.15,dis',textedit:///work/_3/m123_129.ly:18:130:131
1911,4140.494,18.15,b,textedit:///work/_3/m123_129.ly:18:142:143
1912,4142.997,18.65,a,textedit:///work/_3/m123_129.ly:18:154:155
1913,4146.556,32.294,"b,",textedit:///work/_3/m123_129.ly:29:2:3
1914,4146.556,19.15,gis,textedit:///work/_3/m123_129.ly:19:2:3
1915,4149.309,16.65,e',textedit:///work/_3/m123_129.ly:19:24:25
