index,x,y,snippet,href
732,1632.498,32.65,"gis,",textedit:///work/_1/m043_050.ly:40:2:3
733,1632.498,22.011,"gis,",textedit:///work/_1/m043_050.ly:27:6:7
734,1634.899,18.511,gis,textedit:///work/_1/m043_050.ly:14:10:11
735,1637.653,17.011,cis',textedit:///work/_1/m043_050.ly:14:25:26
736,1639.907,18.511,gis,textedit:///work/_1/m043_050.ly:14:37:38
737,1642.661,29.15,gis,textedit:///work/_1/m043_050.ly:40:8:9
738,1642.661,16.511,dis',textedit:///work/_1/m043_050.ly:14:50:51
739,1644.915,18.511,gis,textedit:///work/_1/m043_050.ly:14:64:65
740,1647.669,17.011,cis',textedit:///work/_1/m043_050.ly:14:73:74
741,1649.924,18.511,gis,textedit:///work/_1/m043_050.ly:14:81:82
742,1652.678,16.511,dis',textedit:///work/_1/m043_050.ly:14:92:93
743,1654.932,18.511,gis,textedit:///work/_1/m043_050.ly:14:102:103
744,1657.686,32.65,"gis,",textedit:///work/_1/m043_050.ly:40:16:17
745,1657.686,17.011,cis',textedit:///work/_1/m043_050.ly:14:111:112
746,1659.94,18.511,gis,textedit:///work/_1/m043_050.ly:14:119:120
747,1663.736,32.65,"gis,",textedit:///work/_1/m043_050.ly:41:2:3
748,1663.736,22.011,"gis,",textedit:///work/_1/m043_050.ly:28:6:7
749,1666.136,19.011,fis,textedit:///work/_1/m043_050.ly:15:10:11
750,1670.234,17.511,bis,textedit:///work/_1/m043_050.ly:15:25:26
751,1672.488,19.011,fis,textedit:///work/_1/m043_050.ly:15:37:38
752,1675.242,29.15,gis,textedit:///work/_1/m043_050.ly:41:8:9
753,1675.242,16.511,dis',textedit:///work/_1/m043_050.ly:15:50:51
754,1677.496,19.011,fis,textedit:///work/_1/m043_050.ly:15:64:65
755,1680.251,17.511,bis,textedit:///work/_1/m043_050.ly:15:73:74
756,1682.505,19.011,fis,textedit:///work/_1/m043_050.ly:15:81:82
757,1685.259,16.511,dis',textedit:///work/_1/m043_050.ly:15:92:93
758,1687.513,19.011,fis,textedit:///work/_1/m043_050.ly:15:102:103
759,1690.267,32.65,"gis,",textedit:///work/_1/m043_050.ly:41:16:17
760,1690.267,17.511,bis,textedit:///work/_1/m043_050.ly:15:111:112
761,1692.522,19.011,fis,textedit:///work/_1/m043_050.ly:15:119:120
762,1696.428,31.15,cis,textedit:///work/_1/m051_058.ly:54:2:3
763,1696.428,20.511,cis,textedit:///work/_1/m051_058.ly:4:2:3
764,1699.182,17.011,cis',textedit:///work/_1/m051_058.ly:4:10:11
765,1701.686,31.15,cis,textedit:///work/_1/m051_058.ly:54:7:8
766,1701.686,17.511,b,textedit:///work/_1/m051_058.ly:4:15:16
767,1704.19,18.011,a,textedit:///work/_1/m051_058.ly:4:19:20
768,1706.694,30.15,e,textedit:///work/_1/m051_058.ly:54:11:12
769,1706.694,18.511,gis,textedit:///work/_1/m051_058.ly:4:25:26
770,1709.449,17.011,cis',textedit:///work/_1/m051_058.ly:4:31:32
771,1711.703,29.15,gis,textedit:///work/_1/m051_058.ly:54:13:14
772,1711.703,18.511,gis,textedit:///work/_1/m051_058.ly:4:36:37
773,1714.207,19.011,fis,textedit:///work/_1/m051_058.ly:4:40:41
774,1716.711,27.65,cis',textedit:///work/_1/m051_058.ly:54:17:18
775,1716.711,19.511,e,textedit:///work/_1/m051_058.ly:4:46:47
776,1719.465,18.511,gis,textedit:///work/_1/m051_058.ly:4:52:53
777,1721.72,19.511,e,textedit:///work/_1/m051_058.ly:4:56:57
778,1724.224,20.011,dis,textedit:///work/_1/m051_058.ly:4:60:61
779,1728.068,20.511,cis,textedit:///work/_1/m051_058.ly:5:2:3
780,1730.822,17.011,cis',textedit:///work/_1/m051_058.ly:5:10:11
