 ELAPSD SYSCALL(args) 		 = return
      1 csrctl(0x0, 0x7FF7BD484ACC, 0x4)		 = 0 0
      1 fcntl(0x3, 0x32, 0x7FF7BD4847C0)		 = 0 0
      1 close(0x3)		 = 0 0
      3 open("/usr/bin/Info.plist\0", 0x0, 0x0)		 = -1 Err#2
      2 proc_info(0x2, 0x2D38, 0xD)		 = 64 0
      2 csops_audittoken(0x2D38, 0x10, 0x7FF7BD484B10)		 = 0 0
      6 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x7FF7BD484E50, 0x7FF7BD484E48, 0x7FF8173D2BA5, 0x15)		 = 0 0
      3 sysctl([CTL_KERN, 137, 0, 0, 0, 0] (2), 0x7FF7BD484EE0, 0x7FF7BD484ED8, 0x0, 0x0)		 = 0 0
      8 fstatat64(0xFFFFFFFFFFFFFFFE, 0x7FF7BD4987B6, 0x7FF7BD498320)		 = 0 0
     44 setattrlistat(0xFFFFFFFFFFFFFFFE, 0x7FF7BD4987B6, 0x7FF7BD498290)		 = 0 0

