peak_time
0.279
0.65
0.998
1.3
1.625
2.09
2.438
2.74
3.065
3.367
3.692
4.017
4.342
4.667
4.992
5.317
5.642
5.968
6.269
6.571
6.85
7.175
7.454
7.755
8.011
8.499
8.847
9.149
9.497
9.799
10.101
10.403
10.728
11.053
11.355
11.68
11.981
12.307
12.585
12.934
13.189
13.468
13.862
14.187
14.489
14.791
15.116
15.418
15.79
16.068
16.579
16.904
17.206
17.554
17.879
18.135
18.506
18.808
19.133
19.435
19.714
