pitch,channel,on,off
64,1,0.0,0.25012077278645833
76,0,0.25012077278645833,0.37518115917968753
75,0,0.37518115917968753,0.5002415455729167
52,1,0.5002415455729167,0.7503623183593751
76,0,0.5002415455729167,0.7503623183593751
71,0,0.7503623183593751,1.0004830911458333
68,0,1.0004830911458333,1.2506038639322916
71,0,1.2506038639322916,1.5007246367187501
64,0,1.5007246367187501,1.6257850231119793
66,0,1.6257850231119793,1.7508454095052084
52,1,1.7508454095052084,1.8759057958984375
64,0,1.7508454095052084,1.8759057958984375
51,1,1.8759057958984375,2.0009661822916667
63,0,1.8759057958984375,2.0009661822916667
52,1,2.0009661822916667,2.251086955078125
64,0,2.0009661822916667,2.251086955078125
47,1,2.251086955078125,2.5012077278645832
59,0,2.251086955078125,2.5012077278645832
44,1,2.5012077278645832,2.7513285006510415
56,0,2.5012077278645832,2.7513285006510415
47,1,2.7513285006510415,3.0014492734375002
59,0,2.7513285006510415,3.0014492734375002
40,1,3.0014492734375002,3.2515700462239585
52,0,3.0014492734375002,3.126509659830729
59,0,3.126509659830729,3.2515700462239585
54,0,3.2515700462239585,3.3766304326171874
59,0,3.3766304326171874,3.501690819010417
56,0,3.501690819010417,3.6267512054036457
59,0,3.6267512054036457,3.751811591796875
57,0,3.751811591796875,3.876871978190104
59,0,3.876871978190104,4.001932364583333
56,0,4.001932364583333,4.126992750976562
59,0,4.126992750976562,4.252053137369792
54,0,4.252053137369792,4.377113523763021
59,0,4.377113523763021,4.50217391015625
52,0,4.50217391015625,5.0024154557291665
64,0,4.627234296549479,4.752294682942709
63,0,4.752294682942709,4.8773550693359375
61,0,4.8773550693359375,5.0024154557291665
59,0,5.0024154557291665,5.127475842122396
64,1,5.127475842122396,5.252536228515625
64,0,5.127475842122396,5.252536228515625
63,1,5.252536228515625,5.377596614908854
63,0,5.252536228515625,5.377596614908854
61,1,5.377596614908854,5.502657001302083
61,0,5.377596614908854,5.502657001302083
59,1,5.502657001302083,5.627717387695313
59,0,5.502657001302083,5.627717387695313
57,1,5.627717387695313,5.752777774088542
57,0,5.627717387695313,5.752777774088542
56,1,5.752777774088542,5.877838160481771
56,0,5.752777774088542,5.877838160481771
54,1,5.877838160481771,6.0028985468750005
54,0,5.877838160481771,6.0028985468750005
52,1,6.0028985468750005,6.253019319661458
52,0,6.0028985468750005,6.127958933268229
59,0,6.127958933268229,6.253019319661458
54,0,6.253019319661458,6.378079706054687
59,0,6.378079706054687,6.503140092447917
56,0,6.503140092447917,6.628200478841146
59,0,6.628200478841146,6.753260865234375
57,0,6.753260865234375,6.878321251627604
59,0,6.878321251627604,7.003381638020834
56,0,7.003381638020834,7.1284420244140625
59,0,7.1284420244140625,7.253502410807291
54,0,7.253502410807291,7.378562797200521
59,0,7.378562797200521,7.50362318359375
52,0,7.50362318359375,8.003864729166667
64,0,7.628683569986979,7.753743956380208
63,0,7.753743956380208,7.878804342773438
61,0,7.878804342773438,8.003864729166667
59,0,8.003864729166667,8.128925115559896
52,1,8.128925115559896,8.253985501953125
64,0,8.128925115559896,8.253985501953125
51,1,8.253985501953125,8.379045888346354
63,0,8.253985501953125,8.379045888346354
49,1,8.379045888346354,8.504106274739584
61,0,8.379045888346354,8.504106274739584
47,1,8.504106274739584,8.629166661132812
59,0,8.504106274739584,8.629166661132812
45,1,8.629166661132812,8.754227047526042
57,0,8.629166661132812,8.754227047526042
44,1,8.754227047526042,8.87928743391927
56,0,8.754227047526042,8.87928743391927
42,1,8.87928743391927,9.0043478203125
54,0,8.87928743391927,9.0043478203125
40,1,9.0043478203125,9.254468593098958
52,0,9.0043478203125,9.12940820670573
54,0,9.12940820670573,9.254468593098958
56,0,9.254468593098958,9.379528979492187
57,0,9.379528979492187,9.504589365885417
59,0,9.504589365885417,9.629649752278645
61,0,9.629649752278645,9.754710138671875
63,0,9.754710138671875,9.879770525065105
64,0,9.879770525065105,10.004830911458333
66,0,10.004830911458333,10.129891297851563
68,0,10.129891297851563,10.254951684244793
69,0,10.254951684244793,10.38001207063802
66,0,10.38001207063802,10.50507245703125
40,1,10.50507245703125,10.755193229817708
68,0,10.50507245703125,10.630132843424478
71,0,10.630132843424478,10.755193229817708
64,0,10.755193229817708,10.880253616210938
66,0,10.880253616210938,11.005314002604166
68,0,11.005314002604166,11.130374388997396
69,0,11.130374388997396,11.255434775390626
71,0,11.255434775390626,11.380495161783854
73,0,11.380495161783854,11.505555548177083
75,0,11.505555548177083,11.630615934570313
76,0,11.630615934570313,11.755676320963541
73,0,11.755676320963541,11.880736707356771
75,0,11.880736707356771,12.005797093750001
40,1,12.005797093750001,12.255917866536459
76,0,12.005797093750001,12.255917866536459
59,0,12.130857480143229,12.380978252929687
69,0,12.255917866536459,12.506038639322917
59,0,12.380978252929687,12.631099025716146
68,0,12.506038639322917,12.756159412109374
59,0,12.631099025716146,12.881219798502604
69,0,12.756159412109374,13.006280184895834
59,0,12.881219798502604,13.131340571289062
68,0,13.006280184895834,13.256400957682292
59,0,13.131340571289062,13.381461344075522
66,0,13.256400957682292,13.50652173046875
59,0,13.381461344075522,13.50652173046875
64,0,13.50652173046875,14.006763276041667
76,0,13.63158211686198,13.756642503255208
52,1,13.756642503255208,13.881702889648437
75,0,13.756642503255208,13.881702889648437
54,1,13.881702889648437,14.006763276041667
73,0,13.881702889648437,14.006763276041667
56,1,14.006763276041667,14.256884048828125
71,0,14.006763276041667,14.256884048828125
64,0,14.131823662434895,14.381944435221355
57,1,14.256884048828125,14.507004821614583
73,0,14.256884048828125,14.507004821614583
64,0,14.381944435221355,14.632065208007813
56,1,14.507004821614583,14.757125594401042
71,0,14.507004821614583,14.757125594401042
64,0,14.632065208007813,14.88218598079427
54,1,14.757125594401042,15.0072463671875
69,0,14.757125594401042,15.0072463671875
64,0,14.88218598079427,15.0072463671875
52,1,15.0072463671875,15.257367139973958
68,0,15.0072463671875,15.257367139973958
59,0,15.13230675358073,15.382427526367188
66,0,15.257367139973958,15.507487912760416
59,0,15.382427526367188,15.632548299153646
